Source,SubType,ID,AuthorUserName,AuthorDisplayName,AuthorId,Created,Message,ContentType,PhotoUrl,ContextUrl,Links,AuthorFollowerCount,PostImpressionsTotal,PostImpressionsOrganic,PostProjectedImpressions,SocialValue,PostReach,VideoViews,TotalPublicEngagements,LikeCount,Comments,SharesRetweets,TotalEngagementsAndInteractions,TotalInteractions,EngagementRate,FollowerInteractionRate,EngagementAndInteractionRate,TWAuthorIsVerified,TWRetweetCount,TWReplyCount,TWEngagement,TWQuoteTweets,TWBookmarks,TWUserProfileClicks,TWUrlLinkClicks,TWEngagementAndInteractions,TWAuthorCreated,IGStoryTapsForward,IGStoryTapsBack,IGStoryExits,IGCommentCount,IGTotalEngagements,IGStoryReplies,IGSaveCount,TikTokEngagements,Status,Tags,Sentiment,Language
Facebook,Facebook_Post,121156644404507_122126151674019658, ,PWHL New York,1.21E+14,9/30/2023 16:00,Behind the scenes as we prepared to shine a spotlight on our stars at the Draft. ⭐,Photo,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/385033926_122126151428019658_6122467328121713305_n.jpg?stp=dst-jpg_p720x720&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=rLU8eXJMBDUAX-4B7VI&_nc_ht=scontent-iad3-1.xx&edm=APyxFHYEAAAA&oh=00_AfC-PIc25Ctj8VUNFlVVd_rD4G-HZH4VjT4Pnfn3tchKnQ&oe=653AE387,https://www.facebook.com/121156644404507/posts/122126151674019658, ,164,714,714, ,77,649, ,21,16,0,0,34,13,2.94%,0.13,0.04762, , , , , , , , , , , , , , , , , , ,Pending,"New York,Text Mention:League and Teams",Positive,eng
Facebook,Facebook_Post,121156644404507_122123499038019658, ,PWHL New York,1.21E+14,9/23/2023 22:29,Flashing lights 📸 ✨,Photo,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/380879444_122123498894019658_2282889037912023620_n.jpg?stp=dst-jpg_p720x720&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=3Y1xfulvu1UAX8nc5LU&_nc_oc=AQkWvaB6msLpBRyKrgMXZNV04jVSv12kitbfi4I5PFUKt0EehTCRp_qIzVWAloti1fw&_nc_ht=scontent-iad3-2.xx&edm=APyxFHYEAAAA&oh=00_AfAks_I4E7JMEgIbItsjGbsL8AS64cszr2skY_a8ppwoAw&oe=653B451E,https://www.facebook.com/121156644404507/posts/122123499038019658, ,164,737,737, ,107,693, ,31,20,0,4,81,50,4.21%,0.19,0.10991, , , , , , , , , , , , , , , , , , ,Pending,"New York,Text Mention:League and Teams",Objective,eng
Facebook,Facebook_Post,121156644404507_122121196670019658, ,PWHL New York,1.21E+14,9/18/2023 19:10,The concrete jungle welcomes Chloe Aurard💥 #PWHLDraft2023,Photo,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/380878255_122121196634019658_1260421288667393275_n.jpg?stp=dst-jpg_p720x720&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=UCnscXRyH7AAX_tUoco&_nc_oc=AQm6zoCR9RNOtte1U3QKK2Ydyga275ndckIOxM4NILrWQ_V3u1g5tXV1KxXtdoPbJHc&_nc_ht=scontent-iad3-1.xx&edm=APyxFHYEAAAA&oh=00_AfA3NQjbOJyd-eBe7SN07lMch_NohgXobYwmd42B0e0aoQ&oe=653BA61E,https://www.facebook.com/121156644404507/posts/122121196670019658, ,164,5647,5647, ,238,5601, ,42,26,0,8,190,148,0.74%,0.26,0.03365, , , , , , , , , , , , , , , , , , ,Pending,"New York,Text Mention:League and Teams",Objective,eng
Facebook,Facebook_Post,121156644404507_122121178148019658, ,PWHL New York,1.21E+14,9/18/2023 18:13,And the Tri-State welcomes Jaime Bourbonnais to the team!,Photo,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/380704326_122121178106019658_5209618488913215766_n.jpg?stp=dst-jpg_p720x720&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=xKG3v5-55_cAX_T72Us&_nc_ht=scontent-iad3-1.xx&edm=APyxFHYEAAAA&oh=00_AfDWm4K7FAQyvuqVovO4a27ArtJ1wEYCrx1osp_JHVLufw&oe=653BF903,https://www.facebook.com/121156644404507/posts/122121178148019658, ,164,427,427, ,44,424, ,12,9,0,1,17,5,2.81%,0.07,0.03981, , , , , , , , , , , , , , , , , , ,Pending,"New York,Text Mention:League and Teams",Positive,eng
Facebook,Facebook_Post,121156644404507_122106450362019658, ,PWHL New York,1.21E+14,8/28/2023 23:51, ,Photo,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/369973095_122106450356019658_8347496735806753247_n.jpg?stp=dst-jpg_p720x720&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=0gzuIThxDcYAX_lUMH8&_nc_ht=scontent-iad3-2.xx&edm=APyxFHYEAAAA&oh=00_AfDjn3_lK8ZBTD4YDOVlf9ew9BlSMpENvJs18OLYCjgLaA&oe=653B7B61,https://www.facebook.com/121156644404507/posts/122106450362019658, ,164,197,197, ,42,195, ,13,10,0,1,14,1,6.60%,0.08,0.07107, , , , , , , , , , , , , , , , , , ,Pending,"New York,Text Mention:League and Teams",Objective, 
Facebook,Facebook_Post,121156644404507_122134314704019658, ,PWHL New York,1.21E+14,10/31/2023 14:31,Ella’s ready to take a bite out of the Big Apple! 🍎,Video,https://scontent-iad3-1.xx.fbcdn.net/v/t15.5256-10/395695976_351879077336699_5721883921739616829_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c3bc4c&_nc_ohc=YNsQIB0U7McQ7kNvgEnM1Qt&_nc_zt=23&_nc_ht=scontent-iad3-1.xx&edm=AJfPMC4EAAAA&_nc_gid=AAkkwWzheF8aL_SOafnS3Tw&oh=00_AYDyTbdv9LaGyNKqq7kngu2_cYZb3_ppHnrsLPH7JJWkUA&oe=67172BE2,https://www.facebook.com/121156644404507/posts/122134314704019658, ,207,413,413, ,82,386,125,23,16,0,0,33,10,5.57%,0.11,0.0799, , , , , , , , , , , , , , , , , , ,Pending,"New York,Text Mention:League and Teams",Positive,eng
TikTok,TikTok_Video,7.29E+18,pwhl_minnesota,PWHL_Minnesota,_000PJduRCC8Ueus6D_lcYoyCZdgnd2Ux8R5,10/26/2023 16:50,"The wait is over, Minnesota!  Taylor Heise is officially part of our team. Are you ready?",Video,https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-p-0068-tx2/o8vAonm1ANwCU4qyIMjAixtVMiIaEAi6z4nnfB~tplv-tiktokx-cropcenter:300:400.jpeg?dr=9640&nonce=52703&refresh_token=1914f7576b30839a5827d959d0360aa8&x-expires=1735138800&x-signature=u%2F0ddxi7ER1eXcSNOyIsCqhdfs0%3D&idc=useast5&ps=13740610&s=TIKTOK_FOR_DEVELOPER&shcp=34ff8df6&shp=d05b14bd&t=4d5b0474,https://www.tiktok.com/@pwhl_frost/video/7294310510554516767?utm_campaign=tt4d_open_api&utm_source=7062999415916609538, ,214,5086,5086, ,406, ,5086,330,321,3,6,330,0,6.49%,1.54,0.06488, , , , , , , , , , , , , , , , , ,330,Pending,"Minnesota,Text Mention:League and Teams",Positive,eng
TikTok,TikTok_Video,7.30E+18,pwhl_newyork,PWHL_NewYork,_0003D6e_8_jKWU-Yf1yQUTjC7YDgb1rJb99,11/3/2023 16:40,I know you see that hat 👀 Our girl Élizabeth Giguère is already repping NY!,Video,https://p16-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/osKn36uERQOAPSfftiICtWDlNQ6FEDxSBgiJRR~tplv-tiktokx-cropcenter:300:400.jpeg?dr=9640&nonce=1732&refresh_token=26755f845c4cea90a0fb44e7d142d352&x-expires=1735138800&x-signature=TJiWWxRr40ItSdXfIakk%2BuyZL00%3D&idc=useast5&ps=13740610&s=TIKTOK_FOR_DEVELOPER&shcp=34ff8df6&shp=d05b14bd&t=4d5b0474,https://www.tiktok.com/@pwhl_sirens/video/7297276572229258542?utm_campaign=tt4d_open_api&utm_source=7062999415916609538, ,217,3399,3399, ,143, ,3399,81,73,5,3,81,0,2.38%,0.37,0.02383, , , , , , , , , , , , , , , , , ,81,Pending,"Asset:Digital Overlay,New York,Text Mention:League and Teams",Objective,eng
TikTok,TikTok_Video,7.29E+18,pwhl_ottawa,PWHL Ottawa,_000EaYJjVgWGxbXCq2kAfu933diMqi6j6rf,10/26/2023 19:47,"Lexie’s excited, we’re excited, are you excited? 🤩",Video,https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-p-0068-tx/owI1rwliPrCoJ6gUpUAEEXBBBwsg4AtWQiiTZ~tplv-tiktokx-cropcenter:300:400.jpeg?dr=9640&nonce=6931&refresh_token=26e1734784a5476d0c2dc214fcef9e8f&x-expires=1735138800&x-signature=7%2F6txwAluJpwDD3VxLP3vm7N2p0%3D&idc=useast5&ps=13740610&s=TIKTOK_FOR_DEVELOPER&shcp=34ff8df6&shp=d05b14bd&t=4d5b0474,https://www.tiktok.com/@pwhl_charge/video/7294356202748661035?utm_campaign=tt4d_open_api&utm_source=7062999415916609538, ,224,7708,7708, ,573, ,7708,455,442,9,4,455,0,5.90%,2.03,0.05903, , , , , , , , , , , , , , , , , ,455,Pending,"Ottawa,Text Mention:League and Teams",Positive,eng
TikTok,TikTok_Video,7.29E+18,pwhl_ottawa,PWHL Ottawa,_000EaYJjVgWGxbXCq2kAfu933diMqi6j6rf,10/27/2023 19:32,Hello from Jincy 👋 We can’t wait to get started with you in the city!,Video,https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-p-0068-tx/ocPDfBlQ86qDqBXEgCSEBfEVFEARkCPyriSoSI~tplv-tiktokx-cropcenter:300:400.jpeg?dr=9640&nonce=35016&refresh_token=887d1886b65a0dfa992bed22eb937ced&x-expires=1735138800&x-signature=amKOxeZqMgSi3tPFm3lKV6W2bW4%3D&idc=useast5&ps=13740610&s=TIKTOK_FOR_DEVELOPER&shcp=34ff8df6&shp=d05b14bd&t=4d5b0474,https://www.tiktok.com/@pwhl_charge/video/7294723367809191210?utm_campaign=tt4d_open_api&utm_source=7062999415916609538, ,286,1671,1671, ,99, ,1671,71,68,2,1,71,0,4.25%,0.25,0.04249, , , , , , , , , , , , , , , , , ,71,Pending,"Ottawa,Text Mention:League and Teams",Positive,eng
